time,collection_id,type,user,parent_collection_id,start_after_collection_ids
1897105296948,394043201320,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[394043194143]
600691674159,380907676465,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
1471138255744,384835044194,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[384835043013]
1292431568184,384088983411,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[384087962220]
2155380473747,396897066664,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[396896994969]
1723618057896,387451677953,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[387444628078]
642094472217,381041731480,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[381041721558 381041721678]
687747555048,381235775103,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[381235741683]
2069272917210,396023522739,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
1088172615660,383189840048,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[383189826062]
687788843693,381237848579,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[381235741673]
687734334797,381235741663,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
859663764773,382221874037,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
1118913130730,383375691852,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[383375688574]
1471164782596,384835068349,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
2328292590597,398525268859,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
2415072058728,399286414368,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
1983204608826,394908987047,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
1169401352254,383595985017,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[383595947735]
1378227474289,384470100071,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[384470047378]
687735647197,381235741860,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
2328294713201,398525271363,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[398525268817]
859670906956,382221935314,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[382221935284]
945954919422,382607383783,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[382607383027]
1550743376381,385117195343,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
2328328397627,398525306248,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[398525268817]
1118948957019,383375746138,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[383375688574 383375739416]
773623072681,381830057155,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[381827980963 381829051545]
1088199611274,383189866087,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[383189826062]
2674182867013,400447916783,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[400447912441]
2242211897463,397771109503,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
2242248353140,397771144651,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[397771109406]
2381981564665,398986490027,0,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,,[]
