collection_id,start_time,end_time,time_duration,avg_cpu_usage,avg_memory_usage,record_count,start_after_collection_ids
381380419093,700680583432,703574791607,2894208175,0.0013026131523980037,0.0009470833672417536,225,[]
396942692190,2159546916262,2213873406393,54326490131,0.01229270299275716,0.0026503801345825187,96,[396942690443 396942692152]
396029070380,2072913947507,2080749372607,7835425100,0.0007681465148925777,0.0009705734252929691,250,[]
381846960545,775642381552,789765206140,14122824588,0.004390848094019397,0.0019788413212217127,116,[381846960487 381846960540]
397161499272,2175228979047,2176409920572,1180941525,0.002851567025912009,0.0005841659287274895,944,[]
383402896512,1122744123546,1172580852773,49836729227,0.012591918309529621,0.002563754717508953,96,[383402895501 383402896496]
383600728162,1173897494809,1174965632509,1068137700,0.0018689492169548492,0.0006527900695800783,136,[]
382992108966,1033830842651,1057266413784,23435571133,0.010227468278672961,0.002245320214165582,72,[382992108548 382992108960 382992108442 382992108872]
397813642450,2243599995482,2252484013451,8884017969,0.0037791993882921007,0.0016561614142523871,72,[397813641868 397813641949]
382992108872,1033830116854,1053230125501,19400008647,0.0063521785120810225,0.002532436001685358,124,[382992108372 382992108857 382992108442 382992108864]
397532160086,2227978429049,2228213232172,234803123,0.001589059829711915,0.000692423652200138,272,[]
400062832191,2598132537987,2603257020378,5124482391,0.0010270118713378907,0.0008571386337280273,200,[]
383740465626,1209141195771,1263461584376,54320388605,0.017163570110614482,0.0026585138761080233,104,[383740464611 383740465503]
382992109038,1033831489551,1065812207138,31980717587,0.012939453124999997,0.0025385750664605033,72,[382992108353 382992108994 382992108442 382992109016]
400030030125,2592499543127,2598071012838,5571469711,0.003014788908116958,0.0017059550565831807,68,[400030029675]
381963209305,808165875404,808736451983,570576579,0.003347509047564338,0.0005839291740866269,68,[]
380920858773,602248721431,614686141642,12437420211,0.014233962349269698,0.0027803338092306394,92,[380920854142 380920858729]
382643982458,949946588000,1002123694300,52177106300,0.016978820164998375,0.002783298492431641,96,[382643982010 382643982455]
380999372672,619054040313,622665735931,3611695618,0.0016193023094764126,0.0010454471294696513,104,[]
396167604868,2082356051223,2084319135742,1963084519,0.0011658191680908204,0.000839710235595703,100,[]
394050812555,1900340781557,1932149016046,31808234489,0.011450426919119698,0.002631323678152903,112,[394050811481 394050812513]
399312223106,2418026905518,2418243318350,216412832,0.000899591434278477,0.0006903094104212569,6552,[]
399651642443,2503653559552,2503893514364,239954812,0.0005450630608417809,0.0005509637892903171,5444,[]
396942297191,2159277246628,2159462554123,185307495,0.0006566841387233705,0.0006747076138759365,6296,[]
396026853890,2070863809244,2080183156961,9319347717,0.0022330511183965766,0.001853352501278832,84,[396026853814 396026853879]
377810192349,221319850749,221893497073,573646324,0.0015528418801047568,0.0006986907034209284,660,[]
