Job ID	NewLB	Summed CPLength	Summed TWork
431233	38510	626	187.62760000000003
432138	643	228	11.444791666666665
433683	2465	2346	8.101770833333333
433707	1033	287	4.275625
434416	30532	2613	654.7990625
435080	126	44	0.8231541666666666
435955	297	106	1.6192541666666667
437337	131092	2450	981.7525
437814	89	57	0.35473333333333334
437954	4045	68	35.584787500000004
438945	26064	361	122.75609999999999
440439	9423	1303	246.71333333333334
440616	484	230	7.0711458333333335
440702	5137	416	171.82885416666664
441443	23068	348	171.26302083333334
441540	1529	178	20.6374
442664	410	40	3.2426000000000004
442715	8087	121	68.3825
443208	28217	372	134.40900000000002
443324	136	136	1.8197916666666667
443342	17514	323	406.18125000000003
443650	1616	442	10.1389
443877	17996	12026	186.24989583333334
444400	352	121	3.3827625
445046	306	24	0.05875
445558	2649	44	27.314941666666662
447662	35618	712	597.0307
449378	493	141	5.116637500000001
450071	288	40	1.8523291666666666
450304	75	75	0.8455208333333333
451160	503149	5261	10665.846249999999
451221	40406	542	189.3304
452478	1388205	57575	33250.26666666666
453781	1069	1003	14.6871875
453929	134	134	1.0342708333333333
453950	37	37	0.1428125
454002	26744	1352	15.035900000000002
455154	26179	4963	304.0484375
455901	98	98	0.21104166666666666
456143	19927	3149	607.8462499999999
457309	1793	213	25.725
459746	544944	6105	10484.583333333334
460657	29120	476	135.01492083333332
460838	430	231	6.859166666666667
460880	486	50	4.4496
461169	1915	215	23.856099999999998
463766	33997	557	156.6973
463909	2952	83	29.048287499999994
463960	709	100	6.5011
465268	439	43	4.186999999999999
466506	439	126	4.491291666666667
467623	569	79	4.7539
468557	6473	2639	19.256875
468881	32658	522	160.74020000000002
468912	29510	1612	292.3835416666667
469624	245800	24233	1775.1954166666667
470521	703	61	3.7945458333333337
470833	408	408	0.14697916666666666
471308	258	92	1.420425
472026	42291	375	775.4679000000001
472044	260501	2089	7356.739895833333
472064	1212505	46312	33856.205
472351	1259	255	9.6817
474073	395	395	0.14989583333333334
475228	36566	491	163.45584166666666
475698	34932	3268	512.4207291666667
476822	53	53	0.3978125
476889	16012	10574	181.99239583333335
477637	34381	491	1322.1648958333333
477784	39	39	0.1440625
477881	11550	1662	335.9446875
477935	73	73	0.5175
479060	38	38	0.15020833333333333
479376	3264	60	30.598779166666667
479410	28023	7372	317.5367708333333
480689	40	40	0.14322916666666666
480943	466	134	5.145287499999999
481406	542	189	4.6693750000000005
481901	1100921	16556	2073.3003125
482529	538	538	0.1159375
484275	559	333	6.588229166666666
484341	8450	320	5.1753125
486826	582013	7632	10392.815937500001
487134	80	80	0.2816666666666667
487157	841	127	8.661008333333333
487235	384908	8375	2166.4757291666665
487467	3271	54	32.3549625
488295	576	576	1.7514583333333331
488309	29985	499	139.69780000000003
489619	459	459	0.6566666666666667
489843	218	78	1.2146666666666666
491047	268394	4283	1068.846875
491210	33761	540	149.0928
492674	36	36	0.14979166666666666
492777	34	34	0.1721875
493645	30	30	0.05635416666666667
493959	35516	574	162.6098
494686	325	111	3.282508333333333
494687	27207	457	128.05119999999997
494998	11973	3652	333.9298958333333
495158	29186	661	468.7654
497088	1242	735	12.505520833333334
498635	37	37	0.12416666666666666
498960	47	47	0.19458333333333333
499170	8929	1004	241.90864583333334
500353	33	33	0.18416666666666667
500750	42	42	0.1575
501227	12768	1847	337.48770833333333
501305	1637	191	21.238500000000002
502338	195	127	1.0419
502695	1651	464	8.183800000000002
504100	10097	1531	137.7638
504272	33214	325	596.0518999999999
